date,BTC-USD,ETH-USD,BNB-USD,SOL-USD,XRP-USD,DOGE-USD
2021-01-01,29331.69,728.91,37.7762,1.8421,0.23746,0.00568
2021-01-02,32178.33,774.56,38.2331,1.7999,0.22064,0.0105264
2021-01-03,33000.05,978.28,41.2575,2.1779,0.2254,0.0098209
2021-01-04,31988.71,1041.43,41.1333,2.4909,0.23565,0.0097613
2021-01-05,33949.53,1099.56,41.8219,2.1636,0.22573,0.00997
2021-01-06,36769.36,1208.42,42.2417,1.9414,0.24854,0.01042
2021-01-07,39432.28,1224.87,43.5728,2.3635,0.32389,0.0097439
2021-01-08,40582.81,1216.93,42.356,3.2214,0.32032,0.00974
2021-01-09,40088.22,1276.0,43.8479,3.3829,0.32419,0.0101789
2021-01-10,38150.02,1254.25,42.4031,3.449,0.31491,0.00982
2021-01-11,35404.47,1087.01,38.1674,3.1016,0.28743,0.0088326
2021-01-12,34051.24,1050.16,38.2541,3.6354,0.29254,0.0080807
2021-01-13,37371.38,1129.89,40.1114,3.5242,0.30582,0.0086738
2021-01-14,39144.5,1231.62,41.8723,3.2921,0.29642,0.0093907
2021-01-15,36742.22,1168.53,40.8668,3.2475,0.27991,0.0093525
2021-01-16,35994.98,1227.83,43.142,3.4247,0.27924,0.0092374
2021-01-17,35828.61,1232.45,45.8675,3.8268,0.27746,0.0090987
2021-01-18,36631.27,1258.45,45.3412,3.7868,0.28528,0.0091782
2021-01-19,35891.49,1365.36,42.5241,3.6287,0.29396,0.0090428
2021-01-20,35468.23,1376.99,42.6069,3.7166,0.29539,0.0090487
2021-01-21,30850.13,1110.96,38.6343,2.9899,0.26802,0.0081581
2021-01-22,32945.17,1232.62,40.8936,3.3352,0.27217,0.0085075
2021-01-23,32078.0,1233.6,40.9109,3.5079,0.27167,0.0085779
2021-01-24,32259.9,1392.51,41.8263,3.6278,0.27339,0.0087135
2021-01-25,32254.2,1317.88,41.8347,3.7038,0.26757,0.0083509
2021-01-26,32467.77,1365.97,41.8396,4.041,0.26834,0.0082472
2021-01-27,30366.15,1239.03,40.8826,3.675,0.25039,0.0074124
2021-01-28,33364.86,1329.69,42.5254,3.81,0.26407,0.0364995
2021-01-29,34252.2,1379.5,42.8618,3.8293,0.2829,0.0459059
2021-01-30,34262.88,1378.05,44.7849,4.228,0.44372,0.02826
2021-01-31,33092.98,1312.55,44.3292,4.2525,0.49507,0.037
2021-02-01,33526.37,1374.17,51.4781,4.6148,0.37106,0.0348173
2021-02-02,35466.24,1511.87,51.0071,5.2331,0.37254,0.0313489
2021-02-03,37618.87,1664.49,52.12,5.7311,0.39721,0.0372597
2021-02-04,36936.66,1595.67,55.9599,6.4085,0.44545,0.0529081
2021-02-05,38290.24,1719.19,67.7005,6.7005,0.45219,0.0467193
2021-02-06,39186.94,1676.35,72.8356,6.1225,0.44307,0.0576559
2021-02-07,38795.69,1611.62,68.3542,6.6976,0.41849,0.0779247
2021-02-08,46374.87,1750.15,79.8374,7.855,0.45099,0.0787
2021-02-09,46420.42,1769.13,107.3469,7.8005,0.47636,0.0700121
2021-02-10,44807.58,1740.78,128.9711,9.09,0.50429,0.0725527
2021-02-11,47969.51,1785.62,124.085,9.2004,0.52806,0.069583
2021-02-12,47287.6,1840.26,136.6139,9.2,0.609,0.0697675
2021-02-13,47153.69,1814.96,133.3496,8.7441,0.63309,0.0662405
2021-02-14,48577.79,1800.42,135.8623,8.7158,0.59211,0.0626783
2021-02-15,47911.1,1779.25,130.303,8.8516,0.54976,0.0565
2021-02-16,49133.45,1781.99,130.183,8.3002,0.51995,0.053476
2021-02-17,52119.71,1849.88,165.3233,8.2357,0.53467,0.0495187
2021-02-18,51552.6,1939.61,195.6,8.9771,0.53204,0.0587991
2021-02-19,55906.0,1955.0,333.111,11.4912,0.56465,0.055033
2021-02-20,55841.19,1913.0,253.0,9.9869,0.51167,0.0541708
2021-02-21,57408.57,1933.53,295.2597,11.0753,0.54468,0.0560183
2021-02-22,54087.67,1777.58,267.5147,14.4191,0.56646,0.0535557
2021-02-23,48891.0,1577.89,231.3646,15.2244,0.47579,0.0476562
